Ano,Unidades Geradoras,Unidades Consumidoras,Mês,Date mais recente
2016,10,10,janeiro,2016-01-01 00:00:00
2016,5,5,fevereiro,2016-02-01 00:00:00
2016,2,2,março,2016-03-01 00:00:00
2016,2,2,junho,2016-06-01 00:00:00
2016,1,1,agosto,2016-08-01 00:00:00
2016,67,80,setembro,2016-09-01 00:00:00
2016,15,17,outubro,2016-10-01 00:00:00
2016,6,8,novembro,2016-11-01 00:00:00
2016,2,2,dezembro,2016-12-01 00:00:00
2017,11,12,janeiro,2017-01-01 00:00:00
2017,7,7,fevereiro,2017-02-01 00:00:00
2017,4,5,março,2017-03-01 00:00:00
2017,4,4,abril,2017-04-01 00:00:00
2017,6,7,junho,2017-06-01 00:00:00
2017,2,4,julho,2017-07-01 00:00:00
2017,5,6,agosto,2017-08-01 00:00:00
2017,72,92,setembro,2017-09-01 00:00:00
2017,19,22,outubro,2017-10-01 00:00:00
2017,24,28,novembro,2017-11-01 00:00:00
2017,20,40,dezembro,2017-12-01 00:00:00
2018,31,41,janeiro,2018-01-01 00:00:00
2018,27,34,fevereiro,2018-02-01 00:00:00
2018,19,26,março,2018-03-01 00:00:00
2018,20,30,abril,2018-04-01 00:00:00
2018,21,31,maio,2018-05-01 00:00:00
2018,30,44,junho,2018-06-01 00:00:00
2018,13,24,julho,2018-07-01 00:00:00
2018,53,87,agosto,2018-08-01 00:00:00
2018,105,131,setembro,2018-09-01 00:00:00
2018,73,95,outubro,2018-10-01 00:00:00
2018,75,95,novembro,2018-11-01 00:00:00
2018,71,116,dezembro,2018-12-01 00:00:00
2019,98,133,janeiro,2019-01-01 00:00:00
2019,107,152,fevereiro,2019-02-01 00:00:00
2019,80,104,março,2019-03-01 00:00:00
2019,78,105,abril,2019-04-01 00:00:00
2019,97,123,maio,2019-05-01 00:00:00
2019,154,191,junho,2019-06-01 00:00:00
2019,142,652,julho,2019-07-01 00:00:00
2019,208,281,agosto,2019-08-01 00:00:00
2019,320,434,setembro,2019-09-01 00:00:00
2019,278,393,outubro,2019-10-01 00:00:00
2019,303,397,novembro,2019-11-01 00:00:00
2019,428,560,dezembro,2019-12-01 00:00:00
2020,475,657,janeiro,2020-01-01 00:00:00
2020,492,672,fevereiro,2020-02-01 00:00:00
2020,571,713,março,2020-03-01 00:00:00
2020,117,158,abril,2020-04-01 00:00:00
2020,522,697,maio,2020-05-01 00:00:00
2020,557,730,junho,2020-06-01 00:00:00
2020,537,1179,julho,2020-07-01 00:00:00
2020,577,759,agosto,2020-08-01 00:00:00
2020,688,937,setembro,2020-09-01 00:00:00
2020,797,1107,outubro,2020-10-01 00:00:00
2020,717,959,novembro,2020-11-01 00:00:00
2020,965,1324,dezembro,2020-12-01 00:00:00
2021,925,1243,janeiro,2021-01-01 00:00:00
2021,933,1419,fevereiro,2021-02-01 00:00:00
2021,1157,1537,março,2021-03-01 00:00:00
2021,694,1008,abril,2021-04-01 00:00:00
2021,1042,1506,maio,2021-05-01 00:00:00
2021,1241,1760,junho,2021-06-01 00:00:00
2021,1209,2173,julho,2021-07-01 00:00:00
2021,1260,1787,agosto,2021-08-01 00:00:00
2021,1571,2255,setembro,2021-09-01 00:00:00
2021,1928,2779,outubro,2021-10-01 00:00:00
2021,1896,2650,novembro,2021-11-01 00:00:00
2021,2460,3540,dezembro,2021-12-01 00:00:00
2022,1774,2499,janeiro,2022-01-01 00:00:00
2022,1800,2694,fevereiro,2022-02-01 00:00:00
2022,2226,3075,março,2022-03-01 00:00:00
2022,1665,2427,abril,2022-04-01 00:00:00
2022,2141,3178,maio,2022-05-01 00:00:00
2022,2226,3222,junho,2022-06-01 00:00:00
2022,2232,3771,julho,2022-07-01 00:00:00
2022,2123,3106,agosto,2022-08-01 00:00:00
2022,2604,3765,setembro,2022-09-01 00:00:00
2022,3072,4432,outubro,2022-10-01 00:00:00
2022,2948,4194,novembro,2022-11-01 00:00:00
2022,4723,6967,dezembro,2022-12-01 00:00:00
2023,3668,5338,janeiro,2023-01-01 00:00:00
2023,3501,5027,fevereiro,2023-02-01 00:00:00
2023,3841,5432,março,2023-03-01 00:00:00
2023,2576,3769,abril,2023-04-01 00:00:00
2023,3096,4603,maio,2023-05-01 00:00:00
2023,3021,4375,junho,2023-06-01 00:00:00
2023,3062,4956,julho,2023-07-01 00:00:00
2023,3213,4672,agosto,2023-08-01 00:00:00
2023,3732,5460,setembro,2023-09-01 00:00:00
2023,4548,6550,outubro,2023-10-01 00:00:00
2023,4780,6773,novembro,2023-11-01 00:00:00
2023,6591,9550,dezembro,2023-12-01 00:00:00
2024,5698,8181,janeiro,2024-01-01 00:00:00
2024,5327,7562,fevereiro,2024-02-01 00:00:00
2024,5497,7996,março,2024-03-01 00:00:00
2024,4734,6791,abril,2024-04-01 00:00:00
2024,5029,7377,maio,2024-05-01 00:00:00
2024,4580,6550,junho,2024-06-01 00:00:00
2024,5133,7842,julho,2024-07-01 00:00:00
2024,5172,7341,agosto,2024-08-01 00:00:00
2024,5276,7566,setembro,2024-09-01 00:00:00
2024,6248,8867,outubro,2024-10-01 00:00:00
2024,6577,9226,novembro,2024-11-01 00:00:00
2024,8573,12195,dezembro,2024-12-01 00:00:00
2025,7565,10720,janeiro,2025-01-01 00:00:00
2025,7113,9992,fevereiro,2025-02-01 00:00:00
2025,6842,9824,março,2025-03-01 00:00:00
2025,5991,8451,abril,2025-04-01 00:00:00
2025,6124,8856,maio,2025-05-01 00:00:00
2025,5626,7987,junho,2025-06-01 00:00:00
2025,6556,9799,julho,2025-07-01 00:00:00
2025,6489,9086,agosto,2025-08-01 00:00:00
2025,6257,8837,setembro,2025-09-01 00:00:00
2025,6549,9208,outubro,2025-10-01 00:00:00
2025,8032,11246,novembro,2025-11-01 00:00:00
2025,10438,14599,dezembro,2025-12-01 00:00:00
